ano;Região Geográfica;Unidade da Federação;Área Territorial - km²;Pop_estimada;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
2019; Norte  ; Rondônia  ;237765,24;1777225;49843;261087;61581;14314;463;34357;12704;561;979;245;43;8;145;980;2.626;11.121;3.766;892;34;1.902;10.439
2019; Norte  ; Acre  ;164123,964;881935;39418;156388;38116;6239;141;25918;11107;535;1353;242;15;1;291;869;2.048;7.086;2.371;426;14;1.279;7.103
2019; Norte  ; Amazonas  ;1559167,889;4144597;158670;700172;205128;33492;85;74132;19021;3529;4669;477;109;5;1038;2275;7.405;31.991;8.131;2.310;28;4.888;22.035
2019; Norte  ; Roraima  ;223644,527;605761;28064;102264;23587;5592;3;8646;3280;408;643;168;14;1;108;419;1.523;5.594;2.187;314;5;1.044;4.553
2019; Norte  ; Pará  ;1245870,798;8602865;320527;1418496;356274;45320;1497;166647;50239;7028;9359;873;148;20;1728;6476;16.849;60.720;15.090;2.876;150;12.834;48.142
2019; Norte  ; Amapá  ;142470,762;845731;27035;135999;32987;5408;0;20861;6289;384;711;145;23;0;181;556;1.427;7.218;2.358;593; -   ;1.725;6.847
2019; Norte  ; Tocantins  ;277466,763;1572866;67074;241167;63721;13642;462;16254;14847;800;1273;340;58;9;246;1176;4.225;12.598;4.903;1.051;86;2.200;12.173
2019; Nordeste  ; Maranhão  ;329642,182;7075181;359851;1153446;290250;43618;492;165341;44029;8229;9465;1031;146;24;3038;6392;21.964;65.810;17.299;2.594;92;12.491;51.074
2019; Nordeste  ; Piauí  ;251756,515;3273227;147464;470183;128797;45398;2021;130486;21899;2755;3291;659;144;25;1245;3149;9.175;28.225;10.964;3.113;94;10.061;26.055
2019; Nordeste  ; Ceará  ;148894,441;9132078;422136;1177983;360265;90494;4246;170475;64120;5119;5432;941;251;74;1591;6019;26.527;57.064;19.148;5.621;315;8.482;59.939
2019; Nordeste  ; Rio Grande do Norte  ;52809,602;3506853;147244;459400;125082;42215;152;66648;20006;2081;2612;455;135;6;622;2486;8.217;21.749;7.152;2.983;23;4.178;20.007
2019; Nordeste  ; Paraíba  ;56467,242;4018127;159865;548659;135458;32554;703;113110;23640;3467;3965;639;133;19;1473;3198;9.538;29.556;11.247;3.038;128;9.022;25.788
2019; Nordeste  ; Pernambuco  ;98067,881;9557071;343248;1284245;335117;108952;1579;187217;45643;6263;6914;1126;200;31;1745;5446;19.127;56.354;18.116;4.080;157;12.786;44.203
2019; Nordeste  ; Alagoas  ;27843,295;3337357;131619;475704;116193;34124;4734;121408;23152;1984;2348;409;56;30;1137;2200;7.671;21.506;7.250;1.675;116;7.096;20.046
2019; Nordeste  ; Sergipe  ;21925,424;2298696;85541;328558;76436;11774;81;43907;10645;1431;1758;293;42;6;451;1539;4.655;16.239;4.952;903;22;3.017;12.569
2019; Nordeste  ; Bahia  ;564760,427;14873064;552337;1991083;544868;145021;406;339632;99439;11435;13453;1570;401;10;3801;11372;34.194;103.884;30.593;9.373;74;23.386;93.544
2019; Sudeste  ; Minas Gerais  ;586521,123;21168791;802844;2461094;751103;123412;6474;250168;142098;9148;10562;3189;719;46;2518;11145;58.701;140.419;58.895;9.548;259;25.697;134.068
2019; Sudeste  ; Espírito Santo  ;46074,447;4018650;180012;502696;114217;35513;230;63293;29124;1622;2079;422;133;4;309;2327;13.094;26.428;8.233;2.979;64;3.860;29.050
2019; Sudeste  ; Rio de Janeiro  ;43750,427;17264943;637704;1976311;575245;200242;794;253950;74928;7490;7694;2302;703;19;1321;8097;38.998;102.082;44.446;14.192;100;16.744;87.661
2019; Sudeste  ; São Paulo  ;248219,481;45919049;2298675;5409187;1551906;427164;1119;417752;203389;18004;15141;6508;1047;24;2374;20131;161.579;270.958;111.653;23.307;158;28.669;240.349
2019; Sul  ; Paraná  ;199298,979;11433957;503208;1404493;407743;129801;7412;172185;100262;6058;6192;2003;505;73;1195;7220;43.931;83.903;33.602;12.469;1.047;10.475;82.174
2019; Sul  ; Santa Catarina  ;95730,684;7164788;386298;865262;242876;65753;4296;69270;36734;3901;3104;999;281;50;479;4522;31.779;45.682;18.967;6.005;327;3.548;50.852
2019; Sul  ; Rio Grande do Sul  ;281707,156;11377239;458003;1280743;335437;121811;361;136932;95508;6433;5845;1503;467;11;1159;7153;34.749;72.410;27.586;9.660;70;11.063;75.480
2019; Centro-Oeste  ; Mato Grosso do Sul  ;357145,534;2778986;135929;397032;103482;18811;268;33661;20977;1127;1134;420;124;4;275;1381;9.611;21.654;7.922;1.970;23;2.841;21.201
2019; Centro-Oeste  ; Mato Grosso  ;903207,019;3484466;175492;478220;142836;19667;150;74343;22816;1591;1961;660;83;5;480;2006;9.136;26.862;11.855;1.952;23;5.293;23.981
2019; Centro-Oeste  ; Goiás  ;340203,329;7018354;249863;868931;237166;30282;706;70173;38491;2713;3368;997;113;11;675;3548;14.965;41.125;15.846;2.399;68;6.675;36.607
2019; Centro-Oeste  ; Distrito Federal  ;5760,783;3015268;104814;374927;110020;24361;900;46902;16580;755;861;244;57;9;138;1012;5.965;18.183;5.633;1.501;80;2.623;17.793
