tree,forest,svr,mlp,gr
-0.5059123967242833,-0.5066929826437064,-0.5042598468940326,-0.5075792612248314,-0.5077064760240471
-0.5066539162584381,-0.5064393735801338,-0.504428596121184,-0.5076398966650313,-0.5077183418781158
-0.5090839215194708,-0.5063716559956009,-0.5046103765321104,-0.5076442798073205,-0.5077044547128589
-0.5121383166648039,-0.506458828941134,-0.5048443942250745,-0.5076117406048949,-0.5077354648982148
-0.5094051569497471,-0.506082104095289,-0.5048431295946583,-0.5075202752851833,-0.5076674485540771
-0.5103320671934465,-0.5062444045716272,-0.5051924535021043,-0.5076278030623992,-0.5077710961811379
-0.5082031972258875,-0.5059377915744946,-0.5052550236192339,-0.5075629608583786,-0.5077553700440904
-0.5085840848318567,-0.5057936439061465,-0.505380718953123,-0.5075669724705895,-0.5077221340538198
-0.508080165193485,-0.5055854779502786,-0.5054910398278966,-0.5075778496045146,-0.5077043563270115
-0.5077298758567961,-0.505482070811804,-0.5056379733611089,-0.507663615567881,-0.5077148023382619
-0.5077283734321476,-0.5053813082851062,-0.5056939902009683,-0.5076668355867792,-0.5076746956246868
-0.5068678613315565,-0.5050884160342315,-0.5056926311678969,-0.5075561763157951,-0.507595419947369
-0.508193124451766,-0.5052953140486142,-0.5059926059673695,-0.5076987055563331,-0.5076916396101602
-0.5083532125253898,-0.5052583131166277,-0.5061657976099454,-0.5077209916164822,-0.5077061714726742
-0.5087686682306832,-0.5054273502989574,-0.5063681502414155,-0.5077669422978872,-0.5077550044751735
-0.5077203493583384,-0.5051567518346676,-0.5063871341646715,-0.5076770847868632,-0.5077127769292957
-0.5070492310442086,-0.5047782784341633,-0.5064672392438331,-0.507536399116802,-0.5076563404172277
-0.5062765165411389,-0.504522961660611,-0.5064676162638647,-0.5074496846878479,-0.5076039293066437
-0.5064861294483037,-0.5043863702445359,-0.5065525885275924,-0.5073707144633449,-0.5075940859308911
-0.5069479072718419,-0.5044312373722669,-0.5066761346979646,-0.5075529416449728,-0.5076146227451663
-0.5069119640488426,-0.5043436654714989,-0.5067036439893139,-0.5074874424386046,-0.5076199819755187
-0.5065499781669452,-0.5042089458407952,-0.5066425436525781,-0.5074792636133078,-0.5075680410448329
-0.5063223903398201,-0.504072598750746,-0.5067286838995321,-0.5073890475141801,-0.5075557198410908
-0.5064083321833802,-0.5041048773280776,-0.5068302704276085,-0.5073910210137949,-0.5075731469026665
-0.5062060462545328,-0.503945367693219,-0.5068318494144597,-0.5074261232701714,-0.5075150911059342
-0.5062249173388605,-0.50388644510877,-0.5068771728111239,-0.5073757733828074,-0.5074793701177107
-0.5067439130164639,-0.504114364695996,-0.5070835019764875,-0.5075219875865378,-0.5075617292878276
-0.5068894746788425,-0.5041996809725202,-0.5072327429220184,-0.5076126747033862,-0.5076415642555411
-0.5071601381562689,-0.5042741115847217,-0.5073746631514422,-0.5076692016399345,-0.5076771529238939
-0.5067432122473903,-0.5040280562109041,-0.5074585943141567,-0.5076659307167191,-0.5077072683980727
