baseline,Select_Valid,Best_result
-0.4971964206178482,-0.49400333428566395,-0.4932555746536297
-0.4953351311783001,-0.4939250860962385,-0.4931949342395712
-0.49612376816612375,-0.49389596734400104,-0.4931038177971301
-0.49819116244550055,-0.4940259067737196,-0.4931326751315478
-0.49534328639441283,-0.4937014947873956,-0.4929323685300396
-0.497037292759903,-0.4938770233085561,-0.4929498871097706
-0.49584359771326125,-0.4937310673346798,-0.4927885670577687
-0.4956060578297107,-0.4936706486400161,-0.49272491594319257
-0.4951208397101107,-0.493629042536823,-0.492630983145503
-0.49495611893014047,-0.4936501775971296,-0.49257376185205226
-0.4947247711082792,-0.49351153246338353,-0.4924863618726101
-0.4937297482374166,-0.4932969805249914,-0.4923194721736724
-0.4944428308373764,-0.49358708312601035,-0.492410570694298
-0.4948296787613682,-0.49367230273745066,-0.49240514500072213
-0.4955957822836948,-0.49378126497213665,-0.49243760167970096
-0.4949247651785479,-0.49359228581146786,-0.49224794699062785
-0.49430688663455463,-0.49340853011324204,-0.4920492808696791
-0.49380959536591335,-0.4932071423657729,-0.49187993859492934
-0.493685997998334,-0.4931319385341403,-0.49180821426181215
-0.4939721505583262,-0.4933070317462392,-0.4918879165095683
-0.4937693599694458,-0.4931988325961738,-0.491767479847113
-0.4934386209093575,-0.49295284848136006,-0.49160724182857757
-0.493200520294571,-0.4929316391964103,-0.49153194420162755
-0.4933246313511444,-0.4929577421801099,-0.4915158620738773
-0.4931858456287941,-0.4928540523003412,-0.491409293213276
-0.49318744229069983,-0.492806330581229,-0.4913331145410506
-0.4936898478612779,-0.4930401890623771,-0.4914815508574833
-0.49397704892407457,-0.4931385510107848,-0.49148715527012465
-0.4942979508667599,-0.4933287184345635,-0.49156508319036235
-0.4940303898620453,-0.49334601611029144,-0.49148058095851044
